id_article,Author,Title,Journal,Source,Id,Cat
2,"A.Buchel, P.Langfelder and J.Walcher",<i>Does the tachyon matter?</i>,"Annals Phys. <b>302</b>, 78 (2002)",hep-th/,0207235,y
3,"A.Buchel, P.Langfelder and J.Walcher",<i>On time-dependent backgrounds in supergravity and string theory</i>,"Phys. Rev. D <b> 67</b>, 024011 (2003)",hep-th/,0207214,y
5,A.Buchel,<i>Gauge / gravity correspondence in accelerating universe</i>,"Phys. Rev. D <b> 65</b>, 125015 (2002)",hep-th/,0203041,y
6,A.Buchel and L.A. Pando Zayas,<i>Hagedorn vs. Hawking-Page transition in string theory</i>,Phys. Rev. D<b>68</b> (2003) 066012,hep-th/,0305179,y
9,A.Buchel and J.T. Liu,<i>Thermodynamics of the N=2* flow</i>,JHEP <b>11</b> (2003) 031,hep-th/,0305064,y
10,A.Buchel and J.Walcher,<i>Comments on Supergravity Description of S-branes</i>,JHEP <b>0305</b> (2003) 069,hep-th/,0305055,y
11,A.Buchel,<i>Compactifications of the N=2* flow</i>,Phys. Lett. B<b>570</b> (2003) 89-95,hep-th/,0302107,y
12,A. Buchel and  J.Walcher,<i>The Tachyon does Matter</i>,Fortsch. Phys. <b>51</b> (2003) 885-891,hep-th/,0212150,c
13,A.Buchel,<i>Gauge/string correspondence in curved space</i>,Phys. Rev. D<b>67</b> (2003) 066004,hep-th/,0211141,y
14,A.Buchel and  A.A. Tseytlin,"
<i>Curved space resolution of singularity of fractional D3-branes on conifold</i>",Phys. Rev. D<b>65</b> (2002) 085019,hep-th/,0111017,y
15,A.Buchel,<i>On the thermodynamic instability of LST</i>, ,hep-th/,0107102,y
16,A.Buchel and A.Frey,<i>Comments on supergravity dual of pure N=1 Super Yang Mills theory with unbroken chiral symmetry</i>,Phys. Rev. D<b>64</b> (2001) 064007,hep-th/,0103022,y
17,"A.Buchel, C.P.Herzog, I.R.Klebanov, L.Pando Zayas and A.A.Tseytlin",<i>Non-Extremal Gravity Duals for Fractional D3-Branes on the Conifold</i>,JHEP <b>0104</b> (2001) 033,hep-th/,0102105,y
18,A.Buchel,<i>Comments on fractional instantons in N=2 gauge theories</i>,Phys. Lett. B<b>514</b> (2001) 417-425,hep-th/,0101056,y
19,A.Buchel,<i>Finite temperature resolution of the Klebanov-Tseytlin singularity</i>,Nucl. Phys. B<b>600</b> (2001) 219-234,hep-th/,0011146,y
20,"A.Buchel, A.W.Peet and  J.Polchinski",<i>Gauge Dual and Noncommutative Extension of an N=2 Supergravity Solution</i>,Phys. Rev. D<b>63</b> (2001) 044009,hep-th/,0008076,y
21,P.C.Argyres and  A.Buchel,<i>New S-dualities in N=2 supersymmetric SU(2) x SU(2) gauge theory</i>,JHEP <b>9911</b> (1999) 014,hep-th/,9910125,b
22,"A.Buchel, G.Shiu and S.-H.H.Tye",<i>Anomaly Cancelations in Orientifolds with Quantized B Flux</i>,Nucl. Phys. B<b>569</b> (2000) 329-361,hep-th/,9907203,b
23,P.C.Argyres and  A.Buchel,<i>The Nonperturbative Gauge Coupling of N=2 Supersymmetric Theories</i>,Phys. Lett. B<b>442</b> (1998) 180-184,hep-th/,9806234,b
24,P.C.Argyres and  A.Buchel,<i>Deriving N=2 S-dualities from Scaling for Product Gauge Groups</i>,Phys. Lett. B<b>431</b> (1998) 317-328,hep-th/,9804007,b
25,A.Buchel and J.P.Sethna,"<i>Statistical Mechanics of Cracks: Thermodynamic Limit, Fluctuations, Breakdown, and Asymptotics of Elastic Theory</i>","Phys. Rev. E<b>55</b>, 7669 (1997)",cond-mat/,9610008,b
26,A.Buchel and J.P.Sethna,<i>Elastic Theory Has Zero Radius of Convergence</i>,"Phys. Rev. Lett. <b>77</b>, 1520 (1996)",cond-mat/,9604117,b
27,A.Buchel,<i>Ultrastrong coupling in supersymmetric gauge theories</i>,"Prepared for 21st Annual MRST (Montreal-Rochester-Syracuse-Toronto) Meeting: Conference on High-Energy Physics at the Millenium (MRST 99 and the Sundarfest), Ottawa, Ontario, Canada, 10-12\
May 1999. In *Ottawa 1999, High energy phycics at the millennium* 40-48",\N,1999,c
30,Alexander Sergeevich Buchel,<i>Statistical Mechanics Of Cracks Dualities In Supersymmetric Field Theories Orientifolds Of Type IIb Strings With Discrete B Flux</i>,"UMI-99-39926-mc (microfiche), 1999. 216pp.\
Ph.D.Thesis (Advisor: Philip C. Argyres)",\N,1999,d
29,A.Buchel,<i>Deriving N = 2 S-Dualities From Scaling</i>,"Prepared for 20th Annual MRST (Montreal-Rochester-Syracuse-Toronto) Meeting on High-Energy Physics: MRST 98: Toward the Theory of Everything, Montreal, Canada, 13-15 May 1998. In *Montreal 1998, Toward the theory of everything, MRST 1998* 178-186",\N,1998,c
31,P.C.Argyres and  A.Buchel,<i>Search for new dualities in N=2 supersymmetric QCD</i>,"Prepared for International School of Subnuclear Physics, 35th Course: Highlights: 50 Years Later, Erice, Italy, 26 Aug - 4 Sep 1997.\
Published in *Erice 1997, Highlights of subnuclear physics: 50 years later* 536-543",\N,1997,c
32,A.S.Buchel and L.N.Ivanov,<i>Nuclear Alpha-Emission - I. Consistent Quantum-Mechanical Approach in Terms of Collective Coordinates</i>,Physica Scripta <b>49</b> (1994) 9,\N,19941,a
33,A.S.Buchel and L.N.Ivanov,<i>Nuclear Alpha-Emission - II. Ionization of Atom and Electron-Positron Pair Production</i>,Physica Scripta <b>49</b> (1994) 16,\N,19942,a
34,A.Buchel and R.Roiban,Inflation in warped geometries,Phys. Lett. B<b>590</b> (2004) 284-294,hep-th/,0311154,y
35,A.Buchel and J.T.Liu,Universality of the shear viscosity in supergravity,"Phys. Rev. Lett.  <b>93</b>, 090602 (2004)",hep-th/,0311175,y
36,A.Buchel,On effective action of string theory flux compactifications,Phys. Rev. D<b>69</b> (2004) 106004,hep-th/,0312076,y
37,A.Buchel,On effective action of string theory flux  compactifications,Proceedings of the 3rd Symposium on Quantum Theory and Symmetries (QTS3) 10 - 14 Sept 2003,\N,309001,c
38,A.Buchel,Gauge theories on hyperbolic spaces and dual wormhole instabilities,Phys. Rev. D <b>70</b> 066004 (2004),hep-th/,0402174,y
39,A.Buchel and A.Ghodsi,Braneworld inflation,Phys. Rev. D <b>70</b> 126008 (2004),hep-th/,0404151,y
40,A.Buchel,N=2* hydrodynamics,Nucl. Phys. B <b>708</b> 451 (2005),hep-th/,0406200,y
41,"A.Buchel, J.T.Liu and A.O.Starinets",Coupling constant dependence of the shear viscosity in N=4 supersymmetric Yang-Mills theory,Nucl. Phys. B <b>707</b> 56 (2005),hep-th/,0406264,y
42,A.Buchel,On universality of stress-energy tensor correlation functions in supergravity,"Phys. Lett. B <b>609</b>, 392 (2005)",hep-th/,0408095,y
43,"A.Buchel, F.A.Chishtie, V.Elias, K.Freese, R.B.Mann, D.G.C.McKeon and T.G.Steele",Radiative corrections to the inflaton potential as an explanation of suppressed large scale power in density perturbations and the cosmic microwave background,"JCAP <b>0503</b>, 003 (2005)",hep-ph/,0410117,y
44,A.Buchel,Coarse-graining 1/2 BPS geometries of type IIB supergravity,Int.J.Mod.Phys. A <b>21</b> (2006) 3495,hep-th/,0409271,y
45,"O.Aharony, A. Buchel, A. Yarom",Holographic renormalization of cascading gauge theories,Phys. Rev. D <b>72</b> 066003 (2005),hep-th/,0506002,y
46,"P.Benincasa, A.Buchel and A.O.Starinets",Sound waves in strongly coupled non-conformal gauge theory plasma,Nucl. Phys. B <b>733</b> 160 (2006),hep-th/,0507026,y
47,A.Buchel,A holographic perspective on Gubser-Mitra conjecture,Nucl. Phys. B <b>731</b> 109 (2005),hep-th/,0507275,y
48,A.Buchel,Transport properties of cascading gauge theories,Phys. Rev. D <b>72</b> 106002 (2005),hep-th/,0509083,y
49,P.Benincasa and A.Buchel,Transport properties of N=4 supersymmetric Yang-Mills theory at finite coupling,JHEP <b>01</b> (2006) 103,hep-th/,0510041,y
50,A.Buchel,Inflation on the resolved warped deformed conifold,Phys. Rev. D<b>74</b> (2006) 046009,hep-th/,0601013,y
51,A.Buchel,Higher derivative corrections to near-extremal black holes in type IIB supergravity,Nucl. Phys. B <b>750</b> 45 (2006),hep-th/,0604167,y
52,"P.Benincasa, A.Buchel",Hydrodynamics of Sakai-Sugimoto model in the quenched approximation,"Phys. Lett. B <b>640</b>, 108 (2006)",hep-th/,0605076,y
53,A.Buchel,On jet quenching parameters in strongly coupled non-conformal gauge theories,Phys. Rev. D<b>74</b> (2006) 046006,hep-th/,0605178,y
54,A.Buchel and J.T.Liu,"Gauged supergravity from type IIB string theory on Y^{p,q} manifolds",Nucl. Phys. B <b>771</b> 93 (2007),hep-th/,0608002,y
55,"O.Aharony, A.Buchel and  A.Yarom",Short distance properties of cascading gauge theories,JHEP <b>0611</b> (2006) 069,hep-th/,0608209,y
56,"A.Buchel, J.Jia and V.A.Miransky",Dynamical stabilization of runaway potentials at finite density,"Phys. Lett. B <b>647</b>, 305 (2007)",hep-th/,0609031,y
57,"P.Benincasa, A.Buchel and R.Naryshkin",The shear viscosity of gauge theory plasma with chemical potentials,"Phys. Lett. B <b>645</b>, 309 (2007)",hep-th/,0610145,y
58,"A.Buchel, S.Deakin, P.Kerner and J.T.Liu",Thermodynamics of the N=2^* strongly coupled plasma,Nucl. Phys. B <b>784</b> 72 (2007),hep-th/,0701142,y
59,"A.Buchel, F.A.Chishtie, M.Gagne-Portelance, S.Homayouni and D.G.McKeon",Tensor Self Energy in a Vector-Tensor Model,Int.J.Mod.Phys. A <b>23</b> (2008) 529,hep-th/,0611298,y
60,"A.Buchel, J.Jia, V.A.Miransky",Dynamical stabilization of runaway potentials and landscape of vacua at finite density,Nucl. Phys. B <b>772</b> 323 (2007),hep-th/,0702066,y
61,"O.Aharony, A.Buchel and  P.Kerner",The black hole in the throat - thermodynamics of strongly coupled cascading gauge theories,Phys. Rev. D<b>76</b> (2007) 086005,0706,1768,y
62,Alex Buchel,Bulk viscosity of gauge theory plasma at strong coupling,Phys. Lett. B<b>663</b> 286 (2008),0708,3459,y
63,"P.Benincasa, A.Buchel, M.P.Heller and R.A.Janik",On the supergravity description of boost invariant conformal plasma at strong coupling,Phys. Rev. D<b>77</b> (2008) 046006,0712,2025,y
